,symboling,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,gruped_num_of_cylinders,grouped_bodystyle
0,3,alfa-romero,gas,std,two,convertible,rwd,front,8860,16880,6410,4880,2548,dohc,four,130,mpfi,3.47,2.68,900,111.0,5000.0,21,27,13494.6,three_four,hardtop_convert
1,3,alfa-romero,gas,std,two,convertible,rwd,front,8860,16880,6410,4880,2548,dohc,four,130,mpfi,3.47,2.68,900,111.0,5000.0,21,27,16500.24,three_four,hardtop_convert
2,1,alfa-romero,gas,std,two,hatchback,rwd,front,9450,17120,6550,5240,2823,ohcv,six,152,mpfi,2.68,3.47,900,154.0,5000.0,19,26,16500.24,five_six,hatchback
3,2,audi,gas,std,four,sedan,fwd,front,9980,17660,6620,5430,2337,ohc,four,109,mpfi,3.19,3.4,1000,102.0,5500.0,24,30,13950.36,three_four,sedan
4,2,audi,gas,std,four,sedan,4wd,front,9940,17660,6640,5430,2824,ohc,five,136,mpfi,3.19,3.4,800,115.0,5500.0,18,22,17449.56,five_six,sedan
5,2,audi,gas,std,two,sedan,fwd,front,9980,17730,6630,5310,2507,ohc,five,136,mpfi,3.19,3.4,850,110.0,5500.0,19,25,15249.6,five_six,sedan
6,1,audi,gas,std,four,sedan,fwd,front,10580,19270,7140,5570,2844,ohc,five,136,mpfi,3.19,3.4,850,110.0,5500.0,19,25,17709.84,five_six,sedan
7,1,audi,gas,std,four,wagon,fwd,front,10580,19270,7140,5570,2954,ohc,five,136,mpfi,3.19,3.4,850,110.0,5500.0,19,25,18920.52,five_six,wagon
8,1,audi,gas,turbo,four,sedan,fwd,front,10580,19270,7140,5590,3086,ohc,five,131,mpfi,3.13,3.4,830,140.0,5500.0,17,20,23874.480000000003,five_six,sedan
10,2,bmw,gas,std,two,sedan,rwd,front,10120,17680,6480,5430,2395,ohc,four,108,mpfi,3.5,2.8,880,101.0,5800.0,23,29,16430.0,three_four,sedan
11,0,bmw,gas,std,four,sedan,rwd,front,10120,17680,6480,5430,2395,ohc,four,108,mpfi,3.5,2.8,880,101.0,5800.0,23,29,16925.0,three_four,sedan
